CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
708508758,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0
708300483,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882,605,7277,1.052,704,16,0.143,0.077
779471883,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562
714374133,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769,0,15769,1.041,602,15,0.364,0
712030833,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516,0,34516,0.763,691,15,0.5,0
711013983,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158,0,2158,0.585,615,12,0.714,0
711887583,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449,1628,3821,0.696,836,18,0.385,0.299
720201033,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669,2227,9442,0.622,720,23,0.353,0.191
789322833,48,F,5,High School,Married,Less than $40K,Blue,38,1,3,3,8025,0,8025,0.654,673,18,0.8,0
767712558,59,M,1,College,Single,$60K - $80K,Blue,53,2,3,3,14979,0,14979,0.71,530,10,1,0
712950783,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732,0,2732,0.76,739,16,0.455,0
713741358,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,3,32975,2517,30458,0.658,597,17,0.7,0.076
708953883,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,2,1,3212,0,3212,0.713,757,20,0.25,0
708868233,68,M,0,High School,Married,Less than $40K,Blue,52,1,3,2,1438.3,900,538.3,0.743,760,21,0.615,0.626
719808558,55,F,2,Graduate,Married,Less than $40K,Blue,43,2,4,3,1438.3,0,1438.3,0.707,886,27,0.421,0
711551958,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,3,1438.3,0,1438.3,0.688,844,24,0.5,0
772336458,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,4,3,1438.3,1025,413.3,0.838,702,12,0.714,0.713
720997383,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,2,3,3,1857,1833,24,0.723,829,17,0.7,0.987
710299608,53,F,2,Unknown,Married,Less than $40K,Blue,33,2,3,3,2859,2517,342,0.993,817,30,0.667,0.88
821797008,49,M,5,College,Married,$40K - $60K,Blue,45,2,2,3,1438.3,0,1438.3,0.734,815,21,0.615,0
708874533,45,F,2,College,Married,Less than $40K,Blue,36,1,3,2,3387,0,3387,0.789,510,24,0.6,0
712125258,46,M,4,High School,Married,$120K +,Blue,30,3,3,3,2442,0,2442,0.98,701,19,0.727,0
772390908,59,M,0,High School,Single,$40K - $60K,Blue,48,2,4,3,3616,1054,2562,0.616,687,17,0.545,0.291
778867533,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,1,4,1,1438.3,0,1438.3,1.038,689,23,0.353,0
771809733,64,F,0,High School,Married,$40K - $60K,Blue,53,1,3,3,3353,0,3353,1.021,960,18,0.385,0
719211558,45,M,2,Graduate,Single,$60K - $80K,Blue,36,1,1,2,3401,0,3401,0.898,744,18,1,0
718621608,54,F,2,High School,Married,Unknown,Blue,44,3,3,1,6094,0,6094,1.129,909,14,0.273,0
720272958,48,M,2,High School,Married,$120K +,Blue,36,3,3,3,27126,0,27126,0.953,1000,25,0.786,0
709173108,54,F,4,Graduate,Married,Unknown,Blue,40,6,2,2,2532,2221,311,0.491,799,21,0.235,0.877
708330858,57,M,3,Graduate,Married,$120K +,Blue,38,2,3,3,8249,1381,6868,0.798,678,11,0.833,0.167
709278258,54,M,2,Unknown,Married,$40K - $60K,Blue,44,4,3,2,2902,2517,385,0.821,996,26,0.444,0.867
714871683,58,M,1,Uneducated,Married,$40K - $60K,Blue,36,2,4,3,1438.3,537,901.3,0.819,715,13,0.182,0.373
708288108,43,M,4,Post-Graduate,Unknown,$80K - $120K,Blue,30,2,5,3,5639,1547,4092,1.087,647,15,0.364,0.274
717354558,57,M,2,Uneducated,Married,$120K +,Blue,40,3,3,3,3106,1120,1986,1.045,683,17,0.7,0.361
714639783,42,M,3,College,Married,$60K - $80K,Blue,34,3,3,3,13450,0,13450,0.742,1000,18,0.059,0
778868958,42,F,2,Graduate,Married,Less than $40K,Blue,23,3,3,3,1929,1673,256,0.835,857,36,1.118,0.867
710940183,49,F,3,Graduate,Married,Less than $40K,Blue,38,6,3,2,2185,0,2185,0.727,715,20,0.818,0
709547658,39,M,2,Uneducated,Single,$60K - $80K,Blue,36,5,3,3,13961,1299,12662,0.842,783,20,0.667,0.093
712159083,58,F,4,Unknown,Married,Less than $40K,Blue,46,2,3,3,2536,0,2536,0.917,901,35,0.522,0
711791583,52,F,1,Graduate,Single,Less than $40K,Blue,40,1,2,2,2317,0,2317,1.005,884,19,0.727,0
712315683,53,F,2,Uneducated,Single,Less than $40K,Blue,45,1,1,1,1981,1518,463,1.019,973,25,0.923,0.766
789842283,54,M,2,Graduate,Married,$60K - $80K,Blue,42,3,3,2,4320,0,4320,0.967,706,21,0.5,0
719418933,53,M,2,Uneducated,Married,$80K - $120K,Blue,36,1,3,3,4503,0,4503,0.659,748,20,0.429,0
781794708,35,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,29,2,1,3,17030,1911,15119,0.528,715,25,0.562,0.112
714272658,43,F,2,Uneducated,Single,Less than $40K,Blue,24,2,3,2,2962,2517,445,1.046,929,31,0.409,0.85
767294658,56,M,2,College,Single,$120K +,Blue,50,2,2,3,16867,0,16867,0.885,654,14,0.4,0
708241233,52,F,3,Post-Graduate,Single,Less than $40K,Blue,47,3,3,2,2972,0,2972,1.035,922,25,0.562,0
716223708,45,F,3,Uneducated,Single,Unknown,Blue,36,3,3,3,4028,710,3318,0.731,791,22,0.833,0.176
719443683,50,M,1,Unknown,Single,$120K +,Blue,39,3,2,3,27512,2137,25375,1.048,1149,25,0.562,0.078
779610033,58,M,1,College,Married,$80K - $120K,Blue,47,3,3,3,12151,1799,10352,1.022,918,14,0.556,0.148
709345008,53,F,2,Doctorate,Married,Unknown,Blue,39,1,2,3,1438.3,0,1438.3,0.644,807,22,0.692,0
721417233,45,M,2,Graduate,Married,$60K - $80K,Blue,25,3,5,3,1438.3,0,1438.3,0.676,709,27,0.421,0
769137108,43,F,2,Post-Graduate,Married,Less than $40K,Blue,37,3,3,1,1438.3,0,1438.3,1.004,974,28,0.273,0
717640083,59,M,1,High School,Married,$60K - $80K,Blue,36,3,2,3,6705,0,6705,0.749,731,18,0.5,0
794977533,62,M,0,High School,Married,$60K - $80K,Blue,56,3,3,2,8077,0,8077,0.749,906,16,0.333,0
752604633,57,M,2,College,Married,$40K - $60K,Blue,50,2,5,3,6462,0,6462,0.856,761,17,0.214,0
711242058,48,M,4,Unknown,Single,$80K - $120K,Blue,36,1,3,1,11862,2517,9345,0.766,643,16,0.231,0.212
718121658,56,M,1,College,Married,$60K - $80K,Blue,44,5,3,3,1704,0,1704,0.701,660,17,0.308,0
711593808,55,M,1,High School,Married,$60K - $80K,Blue,46,2,2,3,1438.3,0,1438.3,1.037,888,18,1.25,0
718731183,61,M,1,Unknown,Married,$40K - $60K,Blue,49,1,2,2,5472,788,4684,0.526,705,14,0.273,0.144
713865333,45,F,4,Uneducated,Married,Less than $40K,Blue,38,3,4,3,4908,0,4908,0.993,827,21,0.75,0
797707008,44,F,3,Doctorate,Married,Less than $40K,Blue,38,6,1,3,7222,0,7222,0.685,920,18,0.5,0
720370533,55,M,3,Uneducated,Married,$60K - $80K,Blue,44,3,2,2,2323,0,2323,0.737,804,15,0.5,0
718675158,55,F,1,Unknown,Married,Less than $40K,Blue,36,4,1,3,1438.3,361,1077.3,0.963,850,22,0.692,0.251
